epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,533.335,1.16644,1.07227,0.97248,0.79597,0.82651,0.83616,0.48292,1.2012,1.23313,0.94749,0.0004456,0.0004456,0.0004456
86,538.692,1.17706,1.08594,0.97209,0.85366,0.9259,0.92791,0.56554,1.17942,0.96473,0.94065,0.000439,0.000439,0.000439
87,545.662,1.12094,1.07308,0.95952,0.8615,0.94,0.94153,0.56545,1.23474,0.90267,0.94879,0.0004324,0.0004324,0.0004324
88,551.439,1.18994,1.10476,0.97358,0.82856,0.77807,0.85563,0.50187,1.26238,1.20889,0.96227,0.0004258,0.0004258,0.0004258
89,556.695,1.17111,1.07119,0.97142,0.89202,0.84679,0.93675,0.57363,1.0889,1.00344,0.93386,0.0004192,0.0004192,0.0004192
90,564.172,1.14063,1.04531,0.9682,0.94803,0.98,0.9695,0.5872,1.11281,0.8625,0.92234,0.0004126,0.0004126,0.0004126
91,569.514,1.13291,1.03189,0.96564,0.95102,0.94333,0.96444,0.57929,1.09565,0.93324,0.913,0.000406,0.000406,0.000406
92,576.344,1.10334,1.04806,0.95849,0.92866,0.91,0.95697,0.62701,1.15354,0.89605,0.92928,0.0003994,0.0003994,0.0003994
93,582.503,1.14816,1.06382,0.95801,0.90572,0.90881,0.94833,0.56121,1.10727,0.99012,0.91252,0.0003928,0.0003928,0.0003928
94,587.834,1.12239,1.05692,0.95824,0.92095,0.88667,0.95078,0.60731,0.9891,0.94493,0.90475,0.0003862,0.0003862,0.0003862
95,595.277,1.14576,1.04147,0.95878,0.97274,0.96139,0.97902,0.61626,1.21972,0.80631,0.92728,0.0003796,0.0003796,0.0003796
96,600.543,1.1522,1.04452,0.95882,0.93265,0.94044,0.96458,0.6026,1.10958,0.89607,0.91045,0.000373,0.000373,0.000373
97,606.82,1.1133,0.99951,0.94685,0.90115,0.87041,0.91576,0.53537,1.32001,1.01353,0.95054,0.0003664,0.0003664,0.0003664
98,613.376,1.12753,1.03138,0.9615,0.95541,0.93119,0.97279,0.64226,0.98245,0.88141,0.90185,0.0003598,0.0003598,0.0003598
99,618.622,1.09271,0.99001,0.95351,0.95385,0.95601,0.9793,0.66598,0.9145,0.81931,0.8984,0.0003532,0.0003532,0.0003532
100,626.177,1.07671,0.98796,0.95101,0.98382,0.96643,0.98732,0.67491,0.961,0.84703,0.89681,0.0003466,0.0003466,0.0003466
101,631.506,1.08481,0.99285,0.94819,0.94136,0.97333,0.97406,0.64436,0.99307,0.82432,0.90427,0.00034,0.00034,0.00034
102,637.327,1.07828,0.99257,0.94872,0.98232,0.98355,0.99067,0.64554,0.97565,0.86537,0.89848,0.0003334,0.0003334,0.0003334
103,644.357,1.07434,0.97354,0.95891,0.98413,0.97596,0.98499,0.63149,1.21852,0.79397,0.93848,0.0003268,0.0003268,0.0003268
104,649.643,1.09791,0.96969,0.95917,0.97565,0.96841,0.9788,0.6447,1.06823,0.77997,0.90997,0.0003202,0.0003202,0.0003202
105,656.756,1.10022,0.99314,0.94429,0.96607,0.94,0.96811,0.54599,1.1503,0.95484,0.90565,0.0003136,0.0003136,0.0003136
106,662.413,1.09159,1.01334,0.94621,0.975,0.97894,0.98296,0.64103,1.04692,0.85922,0.9003,0.000307,0.000307,0.000307
107,667.888,1.09198,0.98228,0.94863,0.93698,0.92667,0.97048,0.64292,0.96531,0.8149,0.88707,0.0003004,0.0003004,0.0003004
108,675.225,1.05886,0.95374,0.94336,0.95187,0.94667,0.97292,0.63995,0.9448,0.82048,0.89142,0.0002938,0.0002938,0.0002938
109,680.523,1.06689,0.9374,0.93809,0.99204,0.99,0.99284,0.65939,1.02306,0.7437,0.89247,0.0002872,0.0002872,0.0002872
110,688.104,1.08506,0.97705,0.94339,0.96367,0.95717,0.98229,0.64718,0.98602,0.87474,0.88942,0.0002806,0.0002806,0.0002806
111,693.483,1.06234,0.95075,0.93928,0.96623,0.9732,0.98071,0.65938,0.93322,0.81759,0.89013,0.000274,0.000274,0.000274
112,699.087,1.07061,0.92743,0.93846,0.9888,0.99,0.9922,0.63712,1.09616,0.7536,0.90092,0.0002674,0.0002674,0.0002674
113,706.344,1.08348,0.94873,0.94859,0.98362,0.97667,0.9836,0.59595,1.19958,0.76432,0.91533,0.0002608,0.0002608,0.0002608
114,711.72,1.08964,0.96244,0.94193,0.96623,0.96667,0.97987,0.61659,1.09555,0.79884,0.89914,0.0002542,0.0002542,0.0002542
115,718.834,1.03646,0.93551,0.94197,0.98898,0.9824,0.98689,0.65004,1.08359,0.73247,0.89695,0.0002476,0.0002476,0.0002476
116,724.42,1.06505,0.91146,0.94093,0.9827,0.97774,0.98693,0.67598,0.93561,0.75127,0.88506,0.000241,0.000241,0.000241
117,729.869,1.05566,0.91853,0.93628,0.97139,0.97594,0.97785,0.62981,1.14994,0.7519,0.91221,0.0002344,0.0002344,0.0002344
118,737.22,1.03811,0.91716,0.94331,0.99102,0.97991,0.98688,0.70904,0.9118,0.69219,0.88775,0.0002278,0.0002278,0.0002278
119,742.544,1.05593,0.88777,0.93532,0.9925,0.99021,0.99345,0.67848,0.98749,0.71668,0.89562,0.0002212,0.0002212,0.0002212
120,749.56,1.0727,0.90708,0.94846,0.90278,0.86,0.91298,0.54571,1.31756,1.03052,0.9448,0.0002146,0.0002146,0.0002146
121,755.215,1.04027,0.90459,0.93426,0.9662,0.97124,0.98839,0.68046,0.89456,0.75161,0.89405,0.000208,0.000208,0.000208
122,760.604,1.04255,0.89927,0.94166,0.98742,0.97555,0.98435,0.6537,1.08106,0.80302,0.91225,0.0002014,0.0002014,0.0002014
123,767.977,1.04275,0.91565,0.93502,0.99092,0.98667,0.9915,0.69197,0.89413,0.73395,0.8812,0.0001948,0.0001948,0.0001948
124,773.155,1.03929,0.88028,0.93377,0.98947,0.98298,0.99087,0.69412,0.92272,0.69433,0.88726,0.0001882,0.0001882,0.0001882
125,779.813,1.04094,0.88713,0.93652,0.98752,0.98333,0.98763,0.68218,0.9109,0.68653,0.88049,0.0001816,0.0001816,0.0001816
126,785.789,1.01948,0.87804,0.93239,0.98977,0.98,0.98126,0.68956,0.90511,0.71715,0.88052,0.000175,0.000175,0.000175
127,791.104,1.04901,0.89377,0.92743,0.98824,0.98,0.98014,0.65122,0.99128,0.71836,0.88077,0.0001684,0.0001684,0.0001684
128,798.561,1.01922,0.89944,0.92425,0.98105,0.97333,0.97647,0.68049,0.90462,0.71238,0.87423,0.0001618,0.0001618,0.0001618
129,803.749,0.9902,0.86486,0.92665,0.98737,0.98051,0.98911,0.73127,0.84381,0.64716,0.87054,0.0001552,0.0001552,0.0001552
130,809.606,1.00428,0.87502,0.92876,0.98941,0.98,0.99107,0.73081,0.81069,0.6598,0.87523,0.0001486,0.0001486,0.0001486
131,816.377,1.00012,0.86822,0.9226,0.98362,0.9795,0.97904,0.69828,0.9008,0.67816,0.87889,0.000142,0.000142,0.000142
132,821.935,1.00521,0.87507,0.93018,0.98842,0.98134,0.98757,0.71953,0.86372,0.65935,0.87476,0.0001354,0.0001354,0.0001354
133,829.349,1.01208,0.84995,0.92732,0.99395,0.98529,0.99183,0.70922,0.90959,0.65455,0.87754,0.0001288,0.0001288,0.0001288
134,834.598,0.99819,0.86707,0.93336,0.99416,0.98664,0.99167,0.70616,0.93018,0.63379,0.88209,0.0001222,0.0001222,0.0001222
135,840.311,1.03574,0.86639,0.92597,0.99357,0.98216,0.99096,0.6762,0.91814,0.70489,0.87941,0.0001156,0.0001156,0.0001156
136,847.391,1.02133,0.87706,0.92682,0.99361,0.98821,0.99186,0.74419,0.82874,0.65878,0.87022,0.000109,0.000109,0.000109
137,852.743,0.98547,0.85312,0.92069,0.99128,0.99,0.99141,0.7126,0.93088,0.66847,0.87881,0.0001024,0.0001024,0.0001024
138,859.851,0.97662,0.83582,0.9205,0.99202,0.98667,0.99264,0.74896,0.80675,0.61152,0.86766,9.58e-05,9.58e-05,9.58e-05
139,865.484,0.98478,0.83758,0.92265,0.99613,0.98667,0.99222,0.72585,0.89387,0.59618,0.8732,8.92e-05,8.92e-05,8.92e-05
140,870.925,0.96765,0.81881,0.92084,0.98818,0.98333,0.9905,0.73419,0.90805,0.59424,0.87638,8.26e-05,8.26e-05,8.26e-05
141,880.113,0.84525,0.68791,0.90096,0.989,0.98667,0.99244,0.72974,0.90397,0.58976,0.87707,7.6e-05,7.6e-05,7.6e-05
142,885.298,0.83628,0.66069,0.89365,0.98728,0.98342,0.98918,0.74553,0.87051,0.58958,0.87603,6.94e-05,6.94e-05,6.94e-05
143,892.554,0.85604,0.65768,0.90286,0.98649,0.98667,0.98963,0.70464,0.95148,0.60135,0.88241,6.28e-05,6.28e-05,6.28e-05
144,897.65,0.82012,0.63452,0.89406,0.98771,0.98667,0.99322,0.72271,0.9505,0.59344,0.88203,5.62e-05,5.62e-05,5.62e-05
145,903.017,0.81099,0.62178,0.89764,0.99776,0.98453,0.99374,0.72802,0.91353,0.56031,0.87958,4.96e-05,4.96e-05,4.96e-05
146,910.158,0.81703,0.6249,0.89226,0.99245,0.99333,0.99438,0.74285,0.86578,0.56234,0.87407,4.3e-05,4.3e-05,4.3e-05
147,915.13,0.79876,0.61817,0.88766,0.99074,0.98765,0.99423,0.75025,0.84037,0.54494,0.87281,3.64e-05,3.64e-05,3.64e-05
148,921.318,0.77733,0.60394,0.88623,0.99148,0.98667,0.99364,0.75167,0.84907,0.54295,0.87125,2.98e-05,2.98e-05,2.98e-05
149,927.461,0.80072,0.61274,0.89265,0.99276,0.98667,0.99364,0.73968,0.88742,0.54913,0.87292,2.32e-05,2.32e-05,2.32e-05
150,932.658,0.79523,0.61394,0.89743,0.99387,0.98667,0.99293,0.76454,0.80141,0.53225,0.86807,1.66e-05,1.66e-05,1.66e-05
